RelativeTime(sec)	ID1-Accerlation-X(G)	ID1-Accerlation-Y(G)	ID1-Accerlation-Z(G)	ID2-Accerlation-X(G)	ID2-Accerlation-Y(G)	ID2-Accerlation-Z(G)	ID3-Accerlation-X(G)	ID3-Accerlation-Y(G)	ID3-Accerlation-Z(G)	Pressure-1(bar)	Pressure-2(bar)	Pressure-3(bar)	Pressure-4(bar)	Pressure-5(bar)	Pressure-6(bar)	Pressure-7(bar)	Pressure-8(bar)	
0.000	0.000	0.000	0.000	0.981	-0.054	0.187	0.000	0.000	0.000	
0.002	0.000	0.000	0.000	0.981	-0.054	0.187	0.000	0.000	0.000	
0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.183	0.000	0.000	0.000	0.000	98.378	4.030	0.000	
0.013	0.000	0.000	0.000	0.977	-0.055	0.206	-0.014	-0.005	1.000	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.017	0.000	0.000	0.000	0.977	-0.057	0.205	-0.011	-0.006	0.999	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.023	0.000	0.000	0.000	0.974	-0.054	0.202	-0.010	-0.004	0.999	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.027	0.000	0.000	0.000	0.977	-0.056	0.203	-0.011	-0.007	1.000	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.033	0.000	0.000	0.000	0.978	-0.055	0.205	-0.010	-0.003	1.001	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.038	0.000	0.000	0.000	0.977	-0.055	0.198	-0.013	-0.006	0.999	0.092	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.043	0.000	0.000	0.000	0.979	-0.056	0.202	-0.010	-0.004	0.998	0.092	0.000	0.000	0.000	0.000	98.378	3.847	0.000	
0.048	0.000	0.000	0.000	0.980	-0.053	0.199	-0.008	-0.001	0.999	0.183	0.000	0.000	0.000	0.000	98.378	3.847	0.000	
0.053	0.000	0.000	0.000	0.978	-0.056	0.196	-0.007	-0.005	1.000	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.058	0.000	0.000	0.000	0.976	-0.053	0.205	-0.011	-0.003	0.998	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.062	0.000	0.000	0.000	0.979	-0.054	0.197	-0.009	-0.006	1.004	0.183	0.000	0.000	0.000	0.000	98.378	4.030	0.000	
0.068	0.000	0.000	0.000	0.978	-0.058	0.195	-0.008	-0.008	0.997	0.092	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.072	0.000	0.000	0.000	0.978	-0.057	0.202	-0.014	-0.005	1.000	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.078	0.000	0.000	0.000	0.977	-0.056	0.198	-0.009	-0.005	0.995	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.082	0.000	0.000	0.000	0.979	-0.054	0.205	-0.008	-0.008	0.999	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.088	0.000	0.000	0.000	0.979	-0.051	0.198	-0.006	-0.006	1.000	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.092	0.000	0.000	0.000	0.975	-0.056	0.195	-0.009	-0.007	0.997	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.098	0.000	0.000	0.000	0.977	-0.056	0.196	-0.009	-0.005	0.999	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.102	0.000	0.000	0.000	0.979	-0.053	0.195	-0.011	-0.006	0.998	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.107	0.000	0.000	0.000	0.979	-0.055	0.207	-0.012	-0.007	1.003	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.112	0.000	0.000	0.000	0.975	-0.056	0.200	-0.011	-0.004	1.001	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.117	0.000	0.000	0.000	0.975	-0.057	0.195	-0.008	-0.007	0.996	0.275	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.123	0.000	0.000	0.000	0.977	-0.054	0.201	-0.009	-0.001	1.008	0.275	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.127	0.000	0.000	0.000	0.982	-0.054	0.199	-0.012	-0.003	1.003	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.133	0.000	0.000	0.000	0.979	-0.055	0.201	-0.009	-0.004	1.002	0.183	0.000	0.000	0.000	0.000	98.287	3.847	0.000	
0.137	0.000	0.000	0.000	0.977	-0.052	0.204	-0.012	-0.007	0.995	0.275	0.000	0.000	0.000	0.000	98.287	3.847	0.000	
0.143	0.000	0.000	0.000	0.975	-0.052	0.201	-0.013	-0.009	1.002	0.275	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.147	0.000	0.000	0.000	0.977	-0.055	0.206	-0.009	-0.007	1.000	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.153	0.000	0.000	0.000	0.977	-0.057	0.199	-0.009	-0.006	1.003	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.157	0.000	0.000	0.000	0.978	-0.055	0.195	-0.009	-0.005	0.999	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.162	0.000	0.000	0.000	0.978	-0.053	0.205	-0.008	-0.005	1.001	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.167	0.000	0.000	0.000	0.977	-0.054	0.197	-0.011	-0.004	1.001	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.173	0.000	0.000	0.000	0.982	-0.051	0.198	-0.014	-0.004	1.001	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.177	0.000	0.000	0.000	0.976	-0.056	0.199	-0.009	-0.007	0.998	0.275	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.182	0.000	0.000	0.000	0.981	-0.055	0.205	-0.012	-0.008	1.002	0.275	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.187	0.000	0.000	0.000	0.977	-0.053	0.198	-0.008	-0.007	0.997	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.193	0.000	0.000	0.000	0.977	-0.060	0.199	-0.009	-0.006	1.000	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.197	0.000	0.000	0.000	0.980	-0.052	0.198	-0.011	-0.004	1.002	0.275	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.203	0.000	0.000	0.000	0.976	-0.057	0.202	-0.009	-0.002	0.997	0.275	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.207	0.000	0.000	0.000	0.977	-0.056	0.198	-0.012	-0.005	1.001	0.183	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.213	0.000	0.000	0.000	0.975	-0.057	0.199	-0.011	-0.004	1.001	0.183	0.000	0.000	0.000	0.000	98.195	4.030	0.000	
0.217	0.000	0.000	0.000	0.979	-0.057	0.200	-0.010	-0.006	0.998	0.092	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.223	0.000	0.000	0.000	0.980	-0.058	0.205	-0.011	-0.003	0.997	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.228	0.000	0.000	0.000	0.974	-0.057	0.195	-0.013	-0.005	0.999	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.232	0.000	0.000	0.000	0.975	-0.057	0.203	-0.011	-0.006	0.996	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.238	0.000	0.000	0.000	0.979	-0.056	0.200	-0.011	-0.006	1.002	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.242	0.000	0.000	0.000	0.977	-0.054	0.202	-0.009	-0.007	0.992	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.247	0.000	0.000	0.000	0.978	-0.055	0.202	-0.012	-0.004	1.000	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
